"file","arc","id","stimulus_period","recorded_radian","recorded_degree","type","obstacle"
"20_103",20,"103",56,0.025601733,1.466871234,"stimulus","none"
"20_104",20,"104",56,-2.089429953,-119.7155179,"stimulus","none"
"20_105",20,"105",56,-0.137239118,-7.863222245,"stimulus","none"
"20_106",20,"106",56,-0.284325215,-16.29063481,"stimulus","none"
"20_107",20,"107",56,3.127870535,179.2137805,"stimulus","none"
"20_108",20,"108",56,-1.003482983,-57.49533975,"stimulus","none"
"20_109",20,"109",56,1.941353428,111.231358,"stimulus","none"
"20_110",20,"110",56,-1.01067673,-57.90751107,"stimulus","none"
"20_112",20,"112",56,-2.130323466,-122.0585436,"stimulus","none"
"20_116",20,"116",56,-2.197581112,-125.9121229,"stimulus","none"
"20_117",20,"117",56,-0.367001091,-21.02761358,"stimulus","none"
"20_119",20,"119",56,-2.098668791,-120.2448643,"stimulus","none"
"20_121",20,"121",56,0.129464459,7.417767094,"stimulus","none"
"30_1",30,"1",85,2.288358572,131.1132882,"stimulus","none"
"30_2",30,"2",85,-0.015331076,-0.878405965,"stimulus","none"
"30_3",30,"3",85,2.050347199,117.4762411,"stimulus","none"
"30_5",30,"5",85,0.017297957,0.991099943,"stimulus","none"
"30_6",30,"6",85,0.4587681,26.28547589,"stimulus","none"
"30_7",30,"7",85,-1.921116933,-110.0718922,"stimulus","none"
"30_8",30,"8",85,0.12887574,7.384035961,"stimulus","none"
"30_9",30,"9",85,0.102251727,5.858592421,"stimulus","none"
"30_10",30,"10",85,-0.091290565,-5.230564077,"stimulus","none"
"30_11",30,"11",85,2.378338521,136.2687595,"stimulus","none"
"30_12",30,"12",85,-3.096777936,-177.4323058,"stimulus","none"
"30_13",30,"13",85,2.019668054,115.7184555,"stimulus","none"
"30_14",30,"14",85,-2.175490876,-124.6464455,"stimulus","none"
"30_15",30,"15",85,-0.040068765,-2.295771153,"stimulus","none"
"30_16",30,"16",85,1.760526718,100.8707506,"stimulus","none"
"30_17",30,"17",85,1.528023704,87.54930924,"stimulus","none"
"30_18",30,"18",85,-2.305735901,-132.1089358,"stimulus","none"
"30_19",30,"19",85,-2.175332728,-124.6373843,"stimulus","none"
"30_20",30,"20",85,-0.832906776,-47.72204299,"stimulus","none"
"30_24",30,"24",85,0.72501896,41.54052649,"stimulus","none"
"30_26",30,"26",85,2.945744204,168.7787104,"stimulus","none"
"30_27",30,"27",85,-0.297708587,-17.05744557,"stimulus","none"
"30_28",30,"28",85,-0.166759449,-9.554612623,"stimulus","none"
"30_29",30,"29",85,2.655629996,152.1563907,"stimulus","none"
"30_30",30,"30",85,0.020821522,1.192985347,"stimulus","none"
"30_32",30,"32",85,-0.027007365,-1.54740802,"stimulus","none"
"30_33",30,"33",85,-0.146860727,-8.41449985,"stimulus","none"
"30_36",30,"36",85,1.693802974,97.04776176,"stimulus","none"
"30_39",30,"39",85,-1.767304318,-101.2590785,"stimulus","none"
"30_42",30,"42",85,-2.001463965,-114.6754381,"stimulus","none"
"30_43",30,"43",85,-2.196460327,-125.8479066,"stimulus","none"
"30_44",30,"44",85,-0.692566883,-39.68115944,"stimulus","none"
"30_46",30,"46",85,2.16809422,124.2226484,"stimulus","none"
"30_47",30,"47",85,1.911959772,109.5472255,"stimulus","none"
"30_49",30,"49",85,-2.425869741,-138.9920978,"stimulus","none"
"30_50",30,"50",85,-0.173229511,-9.925319878,"stimulus","none"
"30_51",30,"51",85,0.412507317,23.63492826,"stimulus","none"
"30_101",30,"101",85,2.768234036,158.608127,"stimulus","none"
"30_102",30,"102",85,1.73672604,99.50707227,"stimulus","none"
"30_104",30,"104",85,0.133597109,7.654550525,"stimulus","none"
"30_105",30,"105",85,-0.51864606,-29.71623033,"stimulus","none"
"30_106",30,"106",85,-0.05951886,-3.410179452,"stimulus","none"
"30_107",30,"107",85,-0.128302607,-7.351197882,"stimulus","none"
"30_108",30,"108",85,-0.688210077,-39.43153285,"stimulus","none"
"30_109",30,"109",85,2.344235845,134.3148201,"stimulus","none"
"30_113",30,"113",85,0.221692117,12.70202265,"stimulus","none"
"30_114",30,"114",85,0.914812294,52.41488349,"stimulus","none"
"30_115",30,"115",85,-3.058725169,-175.2520429,"stimulus","none"
"30_116",30,"116",85,-1.19776688,-68.62698708,"stimulus","none"
"30_117",30,"117",85,-2.605488806,-149.2835122,"stimulus","none"
"30_119",30,"119",85,-0.207392908,-11.88273836,"stimulus","none"
"30_121",30,"121",85,-1.958319631,-112.2034498,"stimulus","none"
"40_2",40,"2",113,-0.284209421,-16.28400033,"stimulus","none"
"40_3",40,"3",113,-0.250664994,-14.3620462,"stimulus","none"
"40_5",40,"5",113,-0.728590835,-41.74517984,"stimulus","none"
"40_6",40,"6",113,-0.129569104,-7.423762818,"stimulus","none"
"40_7",40,"7",113,0.127896088,7.327906066,"stimulus","none"
"40_10",40,"10",113,0.379226928,21.72810244,"stimulus","none"
"40_11",40,"11",113,0.146844203,8.413553066,"stimulus","none"
"40_13",40,"13",113,1.981827427,113.5503473,"stimulus","none"
"40_14",40,"14",113,-1.961529445,-112.3873586,"stimulus","none"
"40_16",40,"16",113,-1.910799922,-109.480771,"stimulus","none"
"40_17",40,"17",113,0.324730474,18.60568563,"stimulus","none"
"40_18",40,"18",113,-0.187423632,-10.7385831,"stimulus","none"
"40_19",40,"19",113,-0.340919031,-19.53322165,"stimulus","none"
"40_24",40,"24",113,-0.078560924,-4.501209403,"stimulus","none"
"40_26",40,"26",113,2.765631358,158.4590045,"stimulus","none"
"40_27",40,"27",113,-0.177661311,-10.17924333,"stimulus","none"
"40_30",40,"30",113,0.422060619,24.18229215,"stimulus","none"
"40_32",40,"32",113,0.067655971,3.876401571,"stimulus","none"
"40_33",40,"33",113,-0.042529959,-2.43678717,"stimulus","none"
"40_49",40,"49",113,0.266337101,15.2599918,"stimulus","none"
"40_101",40,"101",113,-0.276944062,-15.86772589,"stimulus","none"
"40_102",40,"102",113,-0.560854326,-32.13458581,"stimulus","none"
"40_103",40,"103",113,1.511342685,86.59355727,"stimulus","none"
"40_104",40,"104",113,-0.175108996,-10.03300644,"stimulus","none"
"40_105",40,"105",113,-0.290746901,-16.65857035,"stimulus","none"
"40_107",40,"107",113,0.081163316,4.650315478,"stimulus","none"
"40_108",40,"108",113,-0.082152295,-4.706979785,"stimulus","none"
"40_109",40,"109",113,-1.252294852,-71.75120974,"stimulus","none"
"40_110",40,"110",113,2.43619493,139.5836876,"stimulus","none"
"40_112",40,"112",113,0.074971997,4.295578989,"stimulus","none"
"40_118",40,"118",113,-0.852463298,-48.84254915,"stimulus","none"
"40_119",40,"119",113,-2.508227778,-143.7108657,"stimulus","none"
"40_121",40,"121",113,0.454762317,26.05596146,"stimulus","none"
"50_1",50,"1",141,0.021754209,1.246424375,"stimulus","none"
"50_2",50,"2",141,2.807460249,160.8556234,"stimulus","none"
"50_3",50,"3",141,0.225122197,12.89855179,"stimulus","none"
"50_7",50,"7",141,-0.758338363,-43.44958763,"stimulus","none"
"50_9",50,"9",141,-0.020849615,-1.194594962,"stimulus","none"
"50_10",50,"10",141,2.724109008,156.0799491,"stimulus","none"
"50_11",50,"11",141,0.100419933,5.753638364,"stimulus","none"
"50_12",50,"12",141,3.000598939,171.9216552,"stimulus","none"
"50_14",50,"14",141,0.280703971,16.08315284,"stimulus","none"
"50_16",50,"16",141,-0.000369475,-0.021169384,"stimulus","none"
"50_20",50,"20",141,-0.598807162,-34.3091231,"stimulus","none"
"50_22",50,"22",141,-0.201444012,-11.54189169,"stimulus","none"
"50_24",50,"24",141,-0.928592299,-53.2044196,"stimulus","none"
"50_25",50,"25",141,0.17551298,10.05615298,"stimulus","none"
"50_26",50,"26",141,1.248527372,71.53534902,"stimulus","none"
"50_27",50,"27",141,-2.737645053,-156.8555074,"stimulus","none"
"50_28",50,"28",141,2.726402065,156.2113316,"stimulus","none"
"50_29",50,"29",141,-1.176138226,-67.38775649,"stimulus","none"
"50_32",50,"32",141,-1.98405461,-113.6779555,"stimulus","none"
"50_33",50,"33",141,0.457750408,26.22716645,"stimulus","none"
"50_34",50,"34",141,0.283042169,16.21712173,"stimulus","none"
"50_39",50,"39",141,0.498082852,28.53804526,"stimulus","none"
"50_40",50,"40",141,1.204147858,68.99259018,"stimulus","none"
"50_41",50,"41",141,0.195851208,11.22144766,"stimulus","none"
"50_42",50,"42",141,0.191239454,10.95721359,"stimulus","none"
"50_43",50,"43",141,-3.63e-16,-2.08e-14,"stimulus","none"
"50_44",50,"44",141,0.393043415,22.51972882,"stimulus","none"
"50_50",50,"50",141,2.426305852,139.0170852,"stimulus","none"
"50_101",50,"101",141,1.839782642,105.4117806,"stimulus","none"
"50_104",50,"104",141,-2.817047945,-161.4049579,"stimulus","none"
"50_105",50,"105",141,0.366428875,20.99482805,"stimulus","none"
"50_107",50,"107",141,-0.278720639,-15.96951626,"stimulus","none"
"50_108",50,"108",141,-0.169969206,-9.738518149,"stimulus","none"
"50_109",50,"109",141,2.894172496,165.8238692,"stimulus","none"
"50_110",50,"110",141,-0.337400749,-19.33163895,"stimulus","none"
"50_112",50,"112",141,0.422034667,24.18080523,"stimulus","none"
"50_113",50,"113",141,-0.109744916,-6.287920529,"stimulus","none"
"50_119",50,"119",141,0.270008078,15.4703233,"stimulus","none"
"50_121",50,"121",141,-0.168393186,-9.648218883,"stimulus","none"
